atmnevek,cimek
KELET Takarék - Fiók,"Jókai út 2., 4764 Csengerújfalu"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 102., 4764 Csengerújfalu"
Magyar Posta Zrt. - Fiók,"Kossuth utca 43., 4763 Ura"
OTP Bank Nyrt. - Fiók,"Ady Endre utca 1, 4765 Csenger"
SZABOLCS Takarék - Fiók,"Ady Endre utca 2, 4765 Csenger"
KELET Takarék - Fiók,"Ady Endre út 5., 4765 Csenger"
Magyar Posta Zrt. - Fiók,"Béke utca 10., 4765 Csenger"
OTP Bank Nyrt. - ATM,"Ady E. utca 1, 4765 Csenger"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 27., 4745 Szamosbecs"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 85., 4743 Csengersima"
SZABOLCS Takarék - Fiók,"Szabadság tér 3, 4351 Vállaj"
Magyar Posta Zrt. - Fiók,"Szabadság utca 103., 4351 Vállaj"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 44., 4767 Szamosangyalos"
Magyar Posta Zrt. - Fiók,"Árpád út 14., 4762 Tyukod"
KELET Takarék - Fiók,"Árpád út 17/a., 4762 Tyukod"
Magyar Posta Zrt. - Fiók,"Petőfi út 1., 4766 Pátyod"
SZABOLCS Takarék - ATM,"Hunyadi utca 98, 4352 Mérk"
SZABOLCS Takarék - Fiók,"Hunyadi utca 98, 4352 Mérk"
Magyar Posta Zrt. - Fiók,"Béke utca 77, 4352 Mérk"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 83., 4742 Csegöld"
Magyar Posta Zrt. - Fiók,"Dózsa út 13., 4353 Tiborszállás"
KELET Takarék - Fiók,"Szabadság tér 20., 4761 Porcsalma"
Magyar Posta Zrt. - Fiók,"Szabadság tér 44., 4761 Porcsalma"
Magyar Posta Zrt. - Fiók,"Kossuth utca 21., 4971 Rozsály"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 58/b, 4735 Szamossályi"
KELET Takarék - Fiók,"Petőfi út 19., 4972 Gacsály"
Nyírbélteki Tksz - Fiók,"Szabadság tér 6, 4267 Penészlek"
Magyar Posta Zrt. - Fiók,"Petőfi utca 61., 4972 Gacsály"
Magyar Posta Zrt. - Fiók,"Vasvári Pál utca 15., 4267 Penészlek"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 10., 4343 Bátorliget"
Magyar Posta Zrt. - Fiók,"Sport utca 5., 4975 Méhtelek"
SZABOLCS Takarék - Fiók,"Rákóczi utca 38, 4343 Bátorliget"
KELET Takarék - ATM,"Kossuth út 12., 4741 Jánkmajtis"
KELET Takarék - Fiók,"Kossuth út 12, 4741 Jánkmajtis"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos út 16., 4741 Jánkmajtis"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 21., 4354 Fábiánháza"
Magyar Posta Zrt. - Fiók,"Fő utca 32., 4969 Tisztaberek"
OTP Bank Nyrt. - ATM,"Rákóczi utca 14, 4355 Nagyecsed"
SZABOLCS Takarék - Fiók,"Rákóczi utca 16, 4355 Nagyecsed"
SZABOLCS Takarék - ATM,"Rákóczi utca 16, 4355 Nagyecsed"
Magyar Posta Zrt. - Fiók,"Rákóczi Ferenc utca 18., 4355 Nagyecsed"
SZABOLCS Takarék - Fiók,"Kossuth utca 34, 4354 Fábiánháza"
Magyar Posta Zrt. - Fiók,"Fő utca 10/c, 4342 Terem"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 84., 4755 Ököritófülpös"
KELET Takarék - Fiók,"Kossuth utca 111, 4755 Ököritófülpös"
Magyar Posta Zrt. - Fiók,"Dózsa út 29., 4732 Cégénydányád"
Magyar Posta Zrt. - Fiók,"Kossuth utca 11., 4286 Bagamér"
Magyar Posta Zrt. - Fiók,"Arany János utca 5., 4285 Álmosd"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 8., 4968 Túrricse"
Magyar Posta Zrt. - Fiók,"Arany János utca 40., 4266 Fülöp"
Magyar Posta Zrt. - Fiók,"Kossuth utca 46., 4963 Kisszekeres"
Magyar Posta Zrt. - Fiók,"Széchenyi köz 2., 4372 Nyírbéltek"
Főnix Takarékszövetkezet - ATM,"Jókai utca 1/A, 4264 Nyírábrány"
Főnix Takarékszövetkezet - Fiók,"Jókai utca 1/a., 4264 Nyírábrány"
Magyar Posta Zrt. - Fiók,"Kossuth utca 4., 4264 Nyírábrány"
Nyírbélteki Tksz - Fiók,"Kossuth u. 16, 4372 Nyírbéltek"
Magyar Posta Zrt. - Fiók,"Kossuth utca 83., 4752 Győrtelek"
KELET Takarék - Fiók,"Kossuth út 19/a., 4752 Győrtelek"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 62., 4284 Kokad"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 1., 4356 Nyírcsaholy"
SZABOLCS Takarék - Fiók,"Hunyadi u. 14, 4356 Nyírcsaholy"
SZABOLCS Takarék - ATM,"Hunyadi János utca 14., 4356 Nyírcsaholy"
Magyar Posta Zrt. - Fiók,"Kossuth utca 4/a, 4375 Piricse"
Nyírbélteki Tksz - Fiók,"Kossuth u. 5, 4375 Piricse"
Magyar Posta Zrt. - Fiók,"Kossuth utca 59., 4941 Penyige"
Magyar Posta Zrt. - Fiók,"Tömöttvár utca 6-8., 4900 Fehérgyarmat"
Nyírbélteki Tksz - Fiók,"Fő u. 81, 4374 Encsencs"
Magyar Posta Zrt. - Fiók,"Fő utca 113., 4956 Kispalád"
KELET Takarék - Fiók,"Árpád út 59., 4751 Kocsord"
K&H Bank Zrt. - ATM,"Móricz Zsigmond utca 2., 4900 Fehérgyarmat"
K&H Bank Zrt. - Fiók,"Móricz Zsigmond utca 2., 4900 Fehérgyarmat"
KELET Takarék - Fiók,"Móricz utca 19, 4900 Fehérgyarmat"
KELET Takarék - ATM,"Móricz utca 19., 4900 Fehérgyarmat"
OTP Bank Nyrt. - ATM,"Móricz Zs. utca 4, 4900 Fehérgyarmat"
OTP Bank Nyrt. - Fiók,"Móricz Zsigmond utca 4, 4900 Fehérgyarmat"
SZABOLCS Takarék - ATM,"Kossuth tér. 4, 4900 Fehérgyarmat"
SZABOLCS Takarék - Fiók,"Kossuth tér 4, 4900 Fehérgyarmat"
KELET Takarék - Fiók,"Kölcsey út 1., 4731 Tunyogmatolcs"
Magyar Posta Zrt. - Fiók,"Fő utca 5., 4374 Encsencs"
Magyar Posta Zrt. - Fiók,"Kölcsey Ferenc utca 1/C., 4731 Tunyogmatolcs"
Magyar Posta Zrt. - Fiók,"Fő utca 124., 4955 Botpalád"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 62., 4333 Nyírkáta"
KELET Takarék - Fiók,"Kossuth út 10., 4333 Nyírkáta"
OTP Bank Nyrt. - ATM,"Damjanich utca 1, 4900 Fehérgyarmat"
Magyar Posta Zrt. - Fiók,"Hunyadi János utca 21., 4751 Kocsord"
SZABOLCS Takarék - Fiók,"Bátori utca 3/a, 4341 Nyírvasvári"
Magyar Posta Zrt. - Fiók,"Bátori utca 4., 4341 Nyírvasvári"
OTP Bank Nyrt. - ATM,"Kossuth utca 4, 4281 Létavértes"
Magyar Posta Zrt. - Fiók,"Nagyváradi utca 1., 4281 Létavértes"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Baross G. u. 1, 4281 Létavértes"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Baross G. u. 1, 4281 Létavértes"
Nyírbélteki Tksz - Fiók,"Bélteki u. 4, 4371 Nyírlugos"
OTP Bank Nyrt. - ATM,"Szabadság tér 1, 4371 Nyírlugos"
Magyar Posta Zrt. - Fiók,"Templom utca 11., 4371 Nyírlugos"
Magyar Posta Zrt. - Fiók,"Kossuth utca 4., 4943 Kömörő"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 29., 4954 Sonkád"
KELET Takarék - Fiók,"Kölcsey utca 70, 4965 Kölcse"
Magyar Posta Zrt. - Fiók,"Dózsa utca 4., 4965 Kölcse"
OTP Bank Nyrt. - ATM,"Petőfi tér 8, 4262 Nyíracsád"
Magyar Posta Zrt. - Fiók,"Petőfi tér 7., 4262 Nyíracsád"
Főnix Takarékszövetkezet - Fiók,"Kassai utca 3, 4262 Nyíracsád"
Magyar Posta Zrt. - Fiók,"Petőfi Sándor utca 27., 4722 Nyírmeggyes"
Magyar Posta Zrt. - Fiók,"Móricz Zsigmond utca 5., 4944 Túristvándi"
K&H Bank Zrt. - ATM,"Alkotmány út 1., 4700 Mátészalka"
KELET Takarék - Fiók,"Bajcsy-Zsilinszki út 5., 4722 Nyírmeggyes"
Magyar Posta Zrt. - Fiók,"Árpád utca 31., 4911 Nábrád"
OTP Bank Nyrt. - ATM,"Alkotmány utca 1/a, 4700 Mátészalka"
OTP Bank Nyrt. - ATM,"Bajcsi-Zs. utca 1. (2768/8/A hrsz.), 4700 Mátészalka"
