"","atmnevek","cimek","lon","lat"
"4401","CIB Bank Zrt. - Fiók","Örs vezér tere 24., 1148 Budapest",19.1372404,47.5042134
"4402","CIB Bank Zrt. - ATM","Fehér út 1., 1106 Budapest",19.136188,47.502564
"4403","Erste Bank Hungary Zrt. - ATM","Ady Endre út 42-44., 1196 Budapest",19.1325019,47.4601823
"4404","BUDAPEST Bank Zrt. - Fiók","Kerepesi út 61., 1106 Budapest",19.141233,47.5034769
"4405","BUDAPEST Bank Zrt. - ATM","Kerepesi út 61., 1106 Budapest",19.141233,47.5034769
"4406","FHB Bank Zrt - Fiók","Mogyoródi út 156, 1141 Budapest",19.138067,47.522666
"4407","FHB Bank Zrt - ATM","Mogyoródi út 156, 1141 Budapest",19.138067,47.522666
"4408","Euronet Banktechikai Kft. - ATM","Szentmihályi út 131, 1152 Budapest",19.138835,47.551514
"4409","OTP Bank Nyrt. - ATM","Szentmihályi út 131, 1152 Budapest",19.138835,47.551514
"4410","OTP Bank Nyrt. - ATM","Szentmihályi út 131, 1152 Budapest",19.138835,47.551514
"4411","OTP Bank Nyrt. - ATM","Szentmihályi út 131, 1152 Budapest",19.138835,47.551514
"4412","OTP Bank Nyrt. - ATM","Szentmihályi út 131, 1152 Budapest",19.138835,47.551514
"4413","OTP Bank Nyrt. - ATM","Szentmihályi út 131, 1153 Budapest",19.138835,47.551514
"4414","Magyar Posta Zrt. - Fiók","Szentmihályi út 131., 1152 Budapest",19.138835,47.551514
"4415","K&H Bank Zrt. - Fiók","Örs vezér tere 2., 1148 Budapest",19.1352271,47.5042767
"4416","K&H Bank Zrt. - ATM","Örs vezér tere 2., 1148 Budapest",19.1352271,47.5042767
"4417","K&H Bank Zrt. - ATM","Örs vezér tere 2., 1148 Budapest",19.1352271,47.5042767
"4418","OTP Bank Nyrt. - ATM","Legénybíró utca 4, 1157 Budapest",19.139901,47.540895
"4419","OTP Bank Nyrt. - ATM","Szent László tér 14, 1105 Budapest",19.1338126,47.4861715
"4420","OTP Bank Nyrt. - ATM","Örs vezér tere 0, 1148 Budapest",19.1352141,47.5037221
"4421","OTP Bank Nyrt. - ATM","Örs vezér tere 2, 1148 Budapest",19.1352271,47.5042767
"4422","OTP Bank Nyrt. - ATM","Nagy Lajos király útja 1-9, 1148 Budapest",19.1352224,47.5061676
"4423","OTP Bank Nyrt. - ATM","Román utca 2, 1105 Budapest",19.132504,47.481474
"4424","OTP Bank Nyrt. - Fiók","Európa utca 6, 1239 Budapest",19.1231069,47.3735734
"4425","K&H Bank Zrt. - ATM","Nyírpalota út 40-46, 1156 Budapest",19.1389992,47.5432958
"4426","Magyar Posta Zrt. - Fiók","Károly utca 132., 1204 Budapest",19.127513,47.4291856
"4427","K&H Bank Zrt. - Fiók","Nyírpalota út 40-46, 1156 Budapest",19.1389992,47.5432958
"4428","Erste Bank Hungary Zrt. - Fiók","Szentmihályi út 137, 1152 Budapest",19.139691,47.550616
